DATE,IPUTIL
1999-12-01,89.9141
2000-01-01,89.8193
2000-02-01,90.9903
2000-03-01,88.4957
2000-04-01,90.3785
2000-05-01,93.7335
2000-06-01,92.3592
2000-07-01,89.6191
2000-08-01,92.2486
2000-09-01,92.6911
2000-10-01,91.7677
2000-11-01,95.0211
2000-12-01,97.2002
2001-01-01,95.3625
2001-02-01,93.4594
2001-03-01,92.8033
2001-04-01,92.3141
2001-05-01,91.5737
2001-06-01,91.8480
2001-07-01,90.2586
2001-08-01,92.6947
2001-09-01,90.6981
2001-10-01,91.5340
2001-11-01,89.4993
2001-12-01,88.3095
2002-01-01,90.2949
2002-02-01,90.7431
2002-03-01,93.1843
2002-04-01,95.4237
2002-05-01,94.8076
2002-06-01,94.8822
2002-07-01,95.8125
2002-08-01,93.7042
2002-09-01,95.4175
2002-10-01,96.5912
2002-11-01,96.2696
2002-12-01,95.2847
2003-01-01,96.7211
2003-02-01,98.8094
2003-03-01,95.4381
2003-04-01,95.5818
2003-05-01,95.4847
2003-06-01,92.9399
2003-07-01,95.7683
2003-08-01,96.2431
2003-09-01,95.3567
2003-10-01,95.8845
2003-11-01,96.1172
2003-12-01,97.2701
2004-01-01,98.9391
2004-02-01,99.8734
2004-03-01,95.8493
2004-04-01,97.3190
2004-05-01,99.2703
2004-06-01,96.9927
2004-07-01,95.5253
2004-08-01,93.2503
2004-09-01,97.1522
2004-10-01,97.3780
2004-11-01,97.6813
2004-12-01,99.4661
2005-01-01,97.8710
2005-02-01,96.6976
2005-03-01,99.5739
2005-04-01,97.7408
2005-05-01,97.6109
2005-06-01,100.7786
2005-07-01,100.8402
2005-08-01,100.5120
2005-09-01,101.7848
2005-10-01,99.8158
2005-11-01,98.9295
2005-12-01,101.9164
2006-01-01,93.7181
2006-02-01,97.1938
2006-03-01,99.6786
2006-04-01,98.8744
2006-05-01,100.1302
2006-06-01,100.6144
2006-07-01,102.1297
2006-08-01,101.2875
2006-09-01,98.1936
2006-10-01,100.1818
2006-11-01,100.5984
2006-12-01,97.3877
2007-01-01,99.4937
2007-02-01,105.6755
2007-03-01,100.7590
2007-04-01,102.3786
2007-05-01,102.5801
2007-06-01,100.7012
2007-07-01,99.5929
2007-08-01,104.3166
2007-09-01,104.3833
2007-10-01,103.1117
2007-11-01,103.1766
2007-12-01,101.1919
2008-01-01,102.4453
2008-02-01,103.8826
2008-03-01,103.0502
2008-04-01,103.1106
2008-05-01,101.8661
2008-06-01,103.3527
2008-07-01,101.9588
2008-08-01,98.2522
2008-09-01,100.1978
2008-10-01,100.8976
2008-11-01,102.2771
2008-12-01,101.8460
2009-01-01,101.7223
2009-02-01,98.8205
2009-03-01,100.1259
2009-04-01,99.6708
2009-05-01,98.3010
2009-06-01,97.4638
2009-07-01,96.1412
2009-08-01,97.1817
2009-09-01,98.2802
2009-10-01,100.4604
2009-11-01,97.4519
2009-12-01,102.7345
2010-01-01,103.2354
2010-02-01,104.7664
2010-03-01,101.2295
2010-04-01,98.1020
2010-05-01,102.2179
2010-06-01,104.2565
2010-07-01,103.3602
2010-08-01,103.6475
2010-09-01,103.6875
2010-10-01,100.2475
2010-11-01,101.4719
2010-12-01,106.8722
2011-01-01,104.6486
2011-02-01,102.8084
2011-03-01,102.5294
2011-04-01,102.0916
2011-05-01,101.5510
2011-06-01,102.7195
2011-07-01,104.4551
2011-08-01,104.3554
2011-09-01,102.5291
2011-10-01,101.1872
2011-11-01,100.4324
2011-12-01,99.1790
2012-01-01,96.4789
2012-02-01,97.1722
2012-03-01,95.8441
2012-04-01,99.2382
2012-05-01,103.5264
2012-06-01,101.2925
2012-07-01,103.1008
2012-08-01,101.9505
2012-09-01,100.2075
2012-10-01,102.0240
2012-11-01,101.0241
2012-12-01,98.1407
2013-01-01,99.5815
2013-02-01,100.1634
2013-03-01,104.2655
2013-04-01,103.9269
2013-05-01,101.6684
2013-06-01,100.5643
2013-07-01,100.4550
2013-08-01,100.2378
2013-09-01,101.5166
2013-10-01,103.0165
2013-11-01,104.2880
2013-12-01,106.7683
2014-01-01,107.8139
2014-02-01,106.7894
2014-03-01,106.4263
2014-04-01,103.3974
2014-05-01,103.1729
2014-06-01,101.3901
2014-07-01,99.1401
2014-08-01,100.0285
2014-09-01,102.1959
2014-10-01,102.8405
2014-11-01,106.0970
2014-12-01,102.8024
2015-01-01,103.9003
2015-02-01,109.0839
2015-03-01,106.1148
2015-04-01,103.0461
2015-05-01,101.8620
2015-06-01,102.5574
2015-07-01,101.8977
2015-08-01,102.3446
2015-09-01,103.3849
2015-10-01,101.9560
2015-11-01,99.5893
2015-12-01,97.1603
2016-01-01,101.2876
2016-02-01,100.7335
2016-03-01,97.0175
2016-04-01,102.8125
2016-05-01,101.5026
2016-06-01,103.9572
2016-07-01,104.3048
2016-08-01,106.5642
2016-09-01,104.1893
2016-10-01,101.2610
2016-11-01,99.2877
2016-12-01,104.6393
2017-01-01,98.9861
2017-02-01,93.7271
2017-03-01,101.3086
2017-04-01,100.6832
2017-05-01,102.3941
2017-06-01,101.6978
2017-07-01,102.6845
2017-08-01,101.1434
2017-09-01,100.8523
2017-10-01,103.4951
2017-11-01,104.4586
2017-12-01,106.7649
2018-01-01,108.3479
2018-02-01,100.5540
2018-03-01,104.4602
2018-04-01,108.7414
2018-05-01,105.4404
2018-06-01,104.6419
2018-07-01,104.6064
2018-08-01,105.9684
2018-09-01,105.5530
2018-10-01,108.2644
2018-11-01,111.1731
2018-12-01,103.5903
2019-01-01,104.3991
2019-02-01,105.0447
2019-03-01,106.8378
2019-04-01,103.2728
2019-05-01,105.2351
2019-06-01,100.8662
2019-07-01,105.2726
2019-08-01,104.6164
2019-09-01,106.1216
2019-10-01,106.4885
2019-11-01,109.7191
2019-12-01,103.4490
2020-01-01,98.6230
2020-02-01,102.1767
2020-03-01,99.0522
2020-04-01,100.8531
2020-05-01,100.2603
2020-06-01,101.6783
2020-07-01,106.6364
2020-08-01,105.5357
2020-09-01,99.6196
